model,nodes,edges,elements,polygons,bonds,rigids,time
a.s00000167__s00003586.tpn_0.json,44,50,94,11,0,1,5343367
a.s00000171__s00001480.tpn_0.json,26,28,54,6,0,1,1158988
a.s00000173__s00001672.tpn_0.json,127,168,295,34,0,1,8580834
a.s00000175__s00003677.tpn_0.json,33,38,71,8,0,1,1470657
a.s00000177__s00002195.tpn_0.json,71,84,155,18,0,1,3190420
a.s00000177__s00002195.tpn_1.json,44,48,92,11,0,1,1757202
a.s00000177__s00002300.tpn_0.json,88,105,193,23,0,1,5728602
a.s00000177__s00002531.tpn_0.json,133,150,283,36,0,1,9094234
a.s00000177__s00002843.tpn_0.json,82,92,174,21,0,1,5355355
a.s00000177__s00002855.tpn_0.json,79,95,174,21,0,1,6189701
a.s00000177__s00002888.tpn_0.json,79,95,174,21,0,1,5692476
a.s00000177__s00003710.tpn_0.json,35,40,75,9,0,1,1259238
a.s00000177__s00003710.tpn_1.json,33,36,69,8,0,1,1945550
a.s00000177__s00003710.tpn_2.json,25,27,52,6,0,1,868174
a.s00000183__s00002123.tpn_0.json,26,29,55,6,0,1,1448735
a.s00000183__s00002123.tpn_1.json,26,28,54,6,0,1,1560808
a.s00000183__s00002137.tpn_0.json,26,28,54,6,0,1,1013827
a.s00000183__s00002519.tpn_0.json,26,29,55,6,0,1,1526571
a.s00000183__s00002519.tpn_1.json,26,28,54,6,0,1,1812869
a.s00000183__s00003704.tpn_0.json,26,29,55,6,0,1,898306
a.s00000183__s00003704.tpn_1.json,26,28,54,6,0,1,1069002
a.s00000195__s00002154.tpn_0.json,57,64,121,14,0,1,3328931
a.s00000195__s00002180.tpn_0.json,57,64,121,14,0,1,3092059
a.s00000197__s00002170.tpn_0.json,66,77,143,17,0,1,4628236
a.s00000197__s00003725.tpn_0.json,63,72,135,16,0,1,3705627
a.s00000197__s00003735.tpn_0.json,66,77,143,17,0,1,3513748
a.s00000199__s00003744.tpn_0.json,26,28,54,6,0,1,1578214
a.s00000199__s00003752.tpn_0.json,41,46,87,10,0,1,2563962
a.s00000199__s00003755.tpn_0.json,141,167,308,38,0,1,9904935
a.s00000199__s00003773.tpn_0.json,87,100,187,23,0,1,5362333
a.s00000199__s00003802.tpn_0.json,32,35,67,8,0,1,1876172
a.s00000201__s00003776.tpn_0.json,70,78,148,18,0,1,4568957
a.s00000201__s00003794.tpn_0.json,59,66,125,15,0,1,3452334
a.s00000205__s00003812.tpn_0.json,41,46,87,10,0,1,1523861
b3.s00000023__s00001331.tpn_0.json,79,92,171,21,0,1,5110683
b3.s00000025__s00001294.tpn_0.json,87,100,187,24,0,1,6066298
b3.s00000039__s00001153.tpn_0.json,63,73,136,16,0,1,3206020
b3.s00000043__s00001051.tpn_0.json,50,57,107,14,0,1,2276596
b3.s00000049__s00002166.tpn_0.json,73,80,153,19,0,1,5052717
b3.s00000055__s00007041.tpn_0.json,57,69,126,14,0,1,3227203
b3.s00000063__s00001398.tpn_0.json,120,161,281,32,0,1,10578192
b3.s00000065__s00001355.tpn_0.json,68,79,147,17,0,1,4171406
b3.s00000067__s00001373.tpn_0.json,24,27,51,5,0,1,1467537
b3.s00000071__s00001480.tpn_0.json,73,96,169,20,0,1,3988149
b3.s00000075__s00001509.tpn_0.json,38,46,84,10,0,1,2451397
b3.s00000081__s00001552.tpn_0.json,44,50,94,11,0,1,2825055
b3.s00000083__s00001558.tpn_0.json,32,35,67,8,0,1,1987506
b3.s00000083__s00001558.tpn_1.json,30,33,63,7,0,1,1294132
b3.s00000085__s00001578.tpn_0.json,44,51,95,11,0,1,2368553
b3.s00000089__s00001591.tpn_0.json,61,76,137,16,0,1,3557346
b3.s00000095__s00004419.tpn_0.json,26,28,54,6,0,1,1265806
b3.s00000095__s00004419.tpn_1.json,38,41,79,9,0,1,1988245
b3.s00000095__s00004419.tpn_2.json,33,38,71,8,0,1,1988245
b3.s00000101__s00004470.tpn_0.json,179,268,447,46,0,1,16201783
b3.s00000109__s00004491.tpn_0.json,79,89,168,21,0,1,3701029
b3.s00000113__s00004502.tpn_0.json,53,64,117,14,0,1,5887639
b3.s00000115__s00004508.tpn_0.json,215,296,511,58,0,1,19622507
b3.s00000119__s00001595.tpn_0.json,73,85,158,18,0,1,3613998
b3.s00000121__s00001656.tpn_0.json,71,83,154,18,0,1,2889096
b3.s00000123__s00001638.tpn_0.json,90,111,201,23,0,1,6390694
b3.s00000125__s00001623.tpn_0.json,56,68,124,13,0,1,3552584
b3.s00000127__s00001685.tpn_0.json,98,128,226,25,0,1,6885620
b3.s00000129__s00001695.tpn_0.json,142,182,324,39,0,1,10580820
b3.s00000131__s00001754.tpn_0.json,94,119,213,24,0,1,5086544
b3.s00000135__s00001774.tpn_0.json,79,88,167,20,0,1,4638992
b3.s00000139__s00001839.tpn_0.json,120,153,273,33,0,1,8581326
b3.s00000141__s00001898.tpn_0.json,137,172,309,37,0,1,9975216
b3.s00000143__s00001891.tpn_0.json,37,48,85,9,0,1,1649563
b3.s00000147__s00001992.tpn_0.json,48,64,112,12,0,1,2156313
b3.s00000149__s00001958.tpn_0.json,127,162,289,33,0,1,7077663
b3.s00000151__s00001932.tpn_0.json,133,160,293,35,0,1,9624794
b3.s00000157__s00001981.tpn_0.json,24,27,51,5,0,1,1306941
b3.s00000159__s00002001.tpn_0.json,48,64,112,12,0,1,2499674
b3.s00000161__s00001996.tpn_0.json,73,93,166,18,0,1,5192541
b3.s00000161__s00001996.tpn_1.json,31,34,65,7,0,1,1225575
b3.s00000163__s00001994.tpn_0.json,130,162,292,34,0,1,8706125
b3.s00000165__s00002002.tpn_0.json,106,133,239,30,0,1,6363763
b3.s00000167__s00002019.tpn_0.json,100,132,232,26,0,1,5828195
b3.s00000169__s00002052.tpn_0.json,200,249,449,56,0,1,16496785
b3.s00000175__s00002042.tpn_0.json,51,61,112,13,0,1,2610269
b3.s00000177__s00002131.tpn_0.json,132,158,290,35,0,1,8840120
b3.s00000185__s00002121.tpn_0.json,29,34,63,7,0,1,1777893
b3.s00000187__s00002187.tpn_0.json,63,76,139,16,0,1,8774190
b3.s00000189__s00002202.tpn_0.json,33,36,69,8,0,1,1251438
b3.s00000191__s00002237.tpn_0.json,73,82,155,19,0,1,4892695
b3.s00000191__s00002237.tpn_1.json,150,179,329,41,0,1,10150428
b3.s00000193__s00002313.tpn_0.json,160,201,361,46,0,1,11867317
